dataset,retriever,diffusion_alpha,hop,global_certificate_rate,pairwise_certificate_rate,ordered_certificate_rate,global_certificate_violations,pairwise_certificate_violations,ordered_certificate_violations,topk_changed_rate,ordering_changed_rate
musique,BAAI/bge-small-en-v1.5,0.8,5,0.010111223458038422,0.36299292214357937,0.0859453993933266,0,0,0,0.0010111223458038423,0.023255813953488372
2wikimultihopqa,sentence-transformers/all-MiniLM-L6-v2,0.1,1,0.0,0.0,0.0,0,0,0,0.03943377148634985,0.14964610717896865
2wikimultihopqa,sentence-transformers/all-MiniLM-L6-v2,0.1,2,0.0,0.0,0.0,0,0,0,0.03842264914054601,0.13346814964610718
2wikimultihopqa,sentence-transformers/all-MiniLM-L6-v2,0.1,3,0.0,0.0,0.0,0,0,0,0.03741152679474216,0.12234580384226491
2wikimultihopqa,sentence-transformers/all-MiniLM-L6-v2,0.1,4,0.0,0.0010111223458038423,0.0,0,0,0,0.033367037411526794,0.1051567239635996
2wikimultihopqa,sentence-transformers/all-MiniLM-L6-v2,0.1,5,0.0,0.0020222446916076846,0.0,0,0,0,0.027300303336703743,0.08493427704752275
2wikimultihopqa,sentence-transformers/all-MiniLM-L6-v2,0.2,1,0.0,0.0,0.0,0,0,0,0.0859453993933266,0.2730030333670374
2wikimultihopqa,sentence-transformers/all-MiniLM-L6-v2,0.2,2,0.0,0.0,0.0,0,0,0,0.06572295247724974,0.22345803842264914
2wikimultihopqa,sentence-transformers/all-MiniLM-L6-v2,0.2,3,0.0,0.0,0.0,0,0,0,0.046511627906976744,0.16481294236602628
2wikimultihopqa,sentence-transformers/all-MiniLM-L6-v2,0.2,4,0.0,0.0,0.0,0,0,0,0.03842264914054601,0.1385237613751264
2wikimultihopqa,sentence-transformers/all-MiniLM-L6-v2,0.2,5,0.0,0.0010111223458038423,0.0,0,0,0,0.032355915065722954,0.11526794742163801
2wikimultihopqa,sentence-transformers/all-MiniLM-L6-v2,0.4,1,0.0,0.0,0.0,0,0,0,0.17087967644084934,0.46107178968655205
2wikimultihopqa,sentence-transformers/all-MiniLM-L6-v2,0.4,2,0.0,0.0,0.0,0,0,0,0.08190091001011122,0.2982810920121335
2wikimultihopqa,sentence-transformers/all-MiniLM-L6-v2,0.4,3,0.0,0.0,0.0,0,0,0,0.04954499494438827,0.17593528816986856
2wikimultihopqa,sentence-transformers/all-MiniLM-L6-v2,0.4,4,0.0,0.0010111223458038423,0.0,0,0,0,0.03842264914054601,0.1365015166835187
2wikimultihopqa,sentence-transformers/all-MiniLM-L6-v2,0.4,5,0.0020222446916076846,0.00910010111223458,0.0,0,0,0,0.024266936299292215,0.09504550050556117
2wikimultihopqa,sentence-transformers/all-MiniLM-L6-v2,0.6,1,0.0,0.0,0.0,0,0,0,0.2345803842264914,0.596562184024267
2wikimultihopqa,sentence-transformers/all-MiniLM-L6-v2,0.6,2,0.0,0.0,0.0,0,0,0,0.08998988877654196,0.29524772497472196
2wikimultihopqa,sentence-transformers/all-MiniLM-L6-v2,0.6,3,0.0,0.0,0.0,0,0,0,0.03842264914054601,0.16481294236602628
2wikimultihopqa,sentence-transformers/all-MiniLM-L6-v2,0.6,4,0.0,0.01314459049544995,0.0,0,0,0,0.020222446916076844,0.06167846309403438
2wikimultihopqa,sentence-transformers/all-MiniLM-L6-v2,0.6,5,0.0010111223458038423,0.05358948432760364,0.0,0,0,0,0.008088978766430738,0.054600606673407485
2wikimultihopqa,sentence-transformers/all-MiniLM-L6-v2,0.8,1,0.0,0.0,0.0,0,0,0,0.32153690596562184,0.7259858442871587
2wikimultihopqa,sentence-transformers/all-MiniLM-L6-v2,0.8,2,0.0,0.0,0.0,0,0,0,0.09605662285136501,0.3306370070778564
2wikimultihopqa,sentence-transformers/all-MiniLM-L6-v2,0.8,3,0.0,0.0,0.0,0,0,0,0.027300303336703743,0.12032355915065723
2wikimultihopqa,sentence-transformers/all-MiniLM-L6-v2,0.8,4,0.004044489383215369,0.10111223458038422,0.0010111223458038423,0,0,0,0.00910010111223458,0.044489383215369056
